オーダー Id,オーダー日,カテゴリ,カテゴリ (Rank.Csv),サブカテゴリ,メーカー,ランク,出荷モード,出荷日,利益,国/領域,地域,市区町村,製品名,都道府県,顧客区分,顧客名,レコード数,レコード数 1,利益率,割引率,売上,数量
JP-2018-1012065,2018/09/27,家具,家具,椅子,Office Star,B,ファースト クラス,2018/09/30,"￥2,760",日本,関西地方,芦屋市,"Office Star ビーチ チェア, 2 つセット",兵庫県,消費者,植草 丈夫,1,1,0.12,0,23076,6
JP-2018-1012065,2018/09/27,家具,家具,家具,Advantus,B,ファースト クラス,2018/09/30,￥258,日本,関西地方,芦屋市,"Advantus ドア ストッパー, プレミアム",兵庫県,消費者,植草 丈夫,1,1,0.03,0,8730,3
JP-2019-1013498,2019/07/19,家電,家電,付属品,ベルキン,S,通常配送,2019/07/24,-￥3,日本,東北地方,北上市,"ベルキン ルータ, 高耐久性",岩手県,消費者,幕田 千代子,1,1,0,0.4,20717,2
JP-2017-1013528,2017/11/27,事務用品,事務用品,画材,BIC,A,ファースト クラス,2017/11/29,"-￥1,276",日本,中国地方,東広島市,"BIC 鉛筆削り, メタル",広島県,小規模事業所,大郷 由美,1,1,-0.3,0.3,4238,3
JP-2017-1014041,2017/08/13,家電,家電,付属品,サンディスク,S,通常配送,2017/08/18,"￥9,824",日本,関西地方,蒲生郡日野町,"サンディスク ルータ, リサイクル",滋賀県,大企業,加川 翼,1,1,0.29,0,33888,2
JP-2017-1014041,2017/08/13,家電,家電,付属品,サンディスク,S,通常配送,2017/08/18,"￥1,532",日本,関西地方,蒲生郡日野町,"サンディスク フラッシュ ドライブ, プログラミング可能",滋賀県,大企業,加川 翼,1,1,0.28,0,5472,2
JP-2020-1014625,2020/10/15,事務用品,事務用品,紙,Green Bar,A,通常配送,2020/10/20,"￥1,746",日本,関東地方,新宿区,"Green Bar 硫酸紙, マルチカラー",東京都,消費者,小堺 太陽,1,1,0.34,0.15,5126,5
JP-2020-1014625,2020/10/15,事務用品,事務用品,アプライアンス,クイジナート,A,通常配送,2020/10/20,"￥1,983",日本,関東地方,新宿区,"クイジナート 冷蔵庫, 赤",東京都,消費者,小堺 太陽,1,1,0.07,0.15,28111,1
JP-2020-1014625,2020/10/15,事務用品,事務用品,画材,Boston,A,通常配送,2020/10/20,"￥1,756",日本,関東地方,新宿区,"Boston スケッチ帳, 大容量パック",東京都,消費者,小堺 太陽,1,1,0.21,0.15,8308,3
JP-2019-1015132,2019/08/13,家具,家具,家具,Tenex,B,通常配送,2019/08/17,"￥4,952",日本,東北地方,東村山郡中山町,"Tenex フォト フレーム, 高耐久性",山形県,大企業,伊志嶺 正博,1,1,0.38,0,13032,4
JP-2020-1015449,2020/11/07,家具,家具,椅子,Novimex,B,通常配送,2020/11/11,"-￥11,009",日本,関東地方,市原市,"Novimex スツール, 2 つセット",千葉県,消費者,西見 颯太,1,1,-0.55,0.4,20005,3
JP-2019-1015946,2019/11/24,事務用品,事務用品,画材,Stanley,A,通常配送,2019/11/29,"￥1,780",日本,九州,宇佐市,"Stanley キャンバス, 青",大分県,消費者,川崎 一樹,1,1,0.27,0,6596,2
JP-2019-1016000,2019/05/27,事務用品,事務用品,画材,Boston,A,通常配送,2019/06/01,￥500,日本,関西地方,三田市,"Boston 蛍光ペン, 青",兵庫県,小規模事業所,阿藤 真,1,1,0.2,0,2516,2
JP-2020-1016798,2020/06/14,家電,家電,付属品,サンディスク,S,通常配送,2020/06/18,"￥5,362",日本,中部地方,長岡市,"サンディスク フラッシュ ドライブ, プログラミング可能",新潟県,消費者,二川 翔太,1,1,0.28,0,19152,7
JP-2020-1016798,2020/06/14,家具,家具,本棚,イケア,B,通常配送,2020/06/18,"￥18,536",日本,中部地方,長岡市,"イケア キャビネット, メタル",新潟県,消費者,二川 翔太,1,1,0.49,0,37840,4
JP-2018-1017704,2018/11/27,事務用品,事務用品,封筒,Cameo,A,ファースト クラス,2018/11/28,-￥208,日本,中国地方,宇部市,"Cameo 業務用封筒, シルバー",山口県,大企業,稲木 静香,1,1,-0.13,0.4,1548,2
JP-2019-1017940,2019/04/20,事務用品,事務用品,ラベル,Novimex,A,通常配送,2019/04/26,-￥23,日本,関東地方,国分寺市,"Novimex 法的提出用ラベル, 調整可能",東京都,大企業,西坂 大和,1,1,-0.01,0.15,1897,4
JP-2019-1017940,2019/04/20,家電,家電,コピー機,ブラザー,S,通常配送,2019/04/26,"￥7,064",日本,関東地方,国分寺市,"ブラザー 無線ファックス, 2 つセット",東京都,大企業,西坂 大和,1,1,0.08,0.15,85864,4
JP-2019-1018543,2019/03/20,家具,家具,本棚,Dania,B,通常配送,2019/03/25,"￥47,530",日本,中国地方,倉敷市,"Dania 書庫, 黒",岡山県,大企業,石嶺 明美,1,1,0.28,0,169750,7
JP-2019-1018543,2019/03/20,事務用品,事務用品,バインダー,アコ,A,通常配送,2019/03/25,￥480,日本,中国地方,倉敷市,"アコ タブ, クリア",岡山県,大企業,石嶺 明美,1,1,0.18,0,2680,5
JP-2019-1018543,2019/03/20,事務用品,事務用品,封筒,Kraft,A,通常配送,2019/03/25,"￥2,712",日本,中国地方,倉敷市,"Kraft 茶封筒, シルバー",岡山県,大企業,石嶺 明美,1,1,0.47,0,5778,3
JP-2019-1018543,2019/03/20,事務用品,事務用品,バインダー,Avery,A,通常配送,2019/03/25,"￥4,720",日本,中国地方,倉敷市,"Avery とじ機, リサイクル",岡山県,大企業,石嶺 明美,1,1,0.36,0,13120,4
JP-2019-1018543,2019/03/20,事務用品,事務用品,アプライアンス,ブレビル,A,通常配送,2019/03/25,"￥33,928",日本,中国地方,倉敷市,"ブレビル 冷蔵庫, 赤",岡山県,大企業,石嶺 明美,1,1,0.49,0,69244,2
JP-2019-1018543,2019/03/20,家具,家具,家具,Eldon,B,通常配送,2019/03/25,￥560,日本,中国地方,倉敷市,"Eldon 積み重ねトレイ, プレミアム",岡山県,大企業,石嶺 明美,1,1,0.07,0,8032,4
JP-2019-1018543,2019/03/20,事務用品,事務用品,保管箱,Eldon,A,通常配送,2019/03/25,￥425,日本,中国地方,倉敷市,"Eldon 棚, フル サイズ",岡山県,大企業,石嶺 明美,1,1,0.03,0,16150,5
JP-2019-1018543,2019/03/20,家具,家具,本棚,Dania,B,通常配送,2019/03/25,"￥2,576",日本,中国地方,倉敷市,"Dania 本棚, メタル",岡山県,大企業,石嶺 明美,1,1,0.08,0,32280,4
JP-2019-1018543,2019/03/20,家具,家具,家具,Advantus,B,通常配送,2019/03/25,"￥1,184",日本,中国地方,倉敷市,"Advantus フレーム, マルチパック",岡山県,大企業,石嶺 明美,1,1,0.08,0,14824,2
JP-2019-1018543,2019/03/20,事務用品,事務用品,ラベル,Smead,A,通常配送,2019/03/25,￥196,日本,中国地方,倉敷市,"Smead 丸型ラベル, 調整可能",岡山県,大企業,石嶺 明美,1,1,0.31,0,,2
JP-2019-1018543,2019/03/20,事務用品,事務用品,ラベル,Harbour Creations,A,通常配送,2019/03/25,￥206,日本,中国地方,倉敷市,"Harbour Creations 取り外し可能ラベル, 白",岡山県,大企業,石嶺 明美,1,1,0.3,0,,1
JP-2019-1018543,2019/03/20,家電,家電,事務機器,OKI データ,S,通常配送,2019/03/25,"￥6,086",日本,中国地方,倉敷市,"OKI データ プリンター, マルチカラー",岡山県,大企業,石嶺 明美,1,1,0.34,0,17900,1
JP-2019-1018543,2019/03/20,事務用品,事務用品,バインダー,カーディナル,A,通常配送,2019/03/25,￥130,日本,中国地方,倉敷市,"カーディナル タブ, クリア",岡山県,大企業,石嶺 明美,1,1,0.06,0,2240,5
JP-2019-1018543,2019/03/20,家電,家電,付属品,エナーマックス,S,通常配送,2019/03/25,"￥1,252",日本,中国地方,倉敷市,"エナーマックス キーパッド, プログラミング可能",岡山県,大企業,石嶺 明美,1,1,0.16,0,7844,2
JP-2019-1018543,2019/03/20,家電,家電,コピー機,HP,S,通常配送,2019/03/25,"￥1,588",日本,中国地方,倉敷市,"HP ファックス, 赤",岡山県,大企業,石嶺 明美,1,1,0.04,0,39752,2
JP-2019-1018543,2019/03/20,家具,家具,本棚,Bush,B,通常配送,2019/03/25,"￥13,248",日本,中国地方,倉敷市,"Bush クラシック スタイルの本棚, 黒",岡山県,大企業,石嶺 明美,1,1,0.16,0,82806,3
JP-2020-1024823,2020/05/06,家具,家具,家具,Rubbermaid,B,通常配送,2020/05/10,"￥6,132",日本,九州,田川郡川崎町,"Rubvermaid ドア ストッパー, マルチパック",福岡県,消費者,佐々本 丈夫,1,1,0.35,0,17544,6
JP-2020-1024823,2020/05/06,事務用品,事務用品,アプライアンス,クイジナート,A,通常配送,2020/05/10,"￥19,360",日本,九州,田川郡川崎町,"クイジナート 電子レンジ, 白",福岡県,消費者,佐々本 丈夫,1,1,0.21,0,92200,5
JP-2020-1026506,2020/05/20,事務用品,事務用品,封筒,Cameo,A,通常配送,2020/05/24,-￥930,日本,関東地方,新宿区,"Cameo テープ付き, リサイクル",東京都,消費者,室田 大翔,1,1,-0.17,0.15,5610,5
JP-2020-1026506,2020/05/20,事務用品,事務用品,ラベル,Hon,A,通常配送,2020/05/24,￥851,日本,関東地方,新宿区,"Hon 輸送用ラベル, 赤",東京都,消費者,室田 大翔,1,1,0.27,0.15,3171,5
JP-2020-1026506,2020/05/20,事務用品,事務用品,保管箱,Smead,A,通常配送,2020/05/24,￥85,日本,関東地方,新宿区,"Smead フォルダ, メタル",東京都,消費者,室田 大翔,1,1,0.05,0.15,1877,2
JP-2020-1026506,2020/05/20,家具,家具,椅子,Harbour Creations,B,通常配送,2020/05/24,"-￥1,541",日本,関東地方,新宿区,"Harbour Creations スツール, 黒",東京都,消費者,室田 大翔,1,1,-0.15,0.15,10069,1
JP-2020-1030177,2020/02/11,家具,家具,椅子,Hon,B,通常配送,2020/02/15,"-￥8,286",日本,関東地方,旭市,"Hon 折り畳み式の椅子, 調整可能",千葉県,小規模事業所,長井 優太,1,1,-0.62,0.4,13426,4
JP-2020-1030177,2020/02/11,事務用品,事務用品,保管箱,Tenex,A,通常配送,2020/02/15,"-￥16,079",日本,関東地方,旭市,"Tenex ロッカー, フル サイズ",千葉県,小規模事業所,長井 優太,1,1,-0.66,0.4,24502,3
JP-2018-1031262,2018/09/15,事務用品,事務用品,画材,Sanford,A,ファースト クラス,2018/09/18,-￥68,日本,中部地方,かほく市,"Sanford ペン, 各種サイズ",石川県,大企業,瀬川 美咲,1,1,-0.1,0.3,,1
JP-2018-1031262,2018/09/15,事務用品,事務用品,保管箱,Eldon,A,ファースト クラス,2018/09/18,￥792,日本,中部地方,かほく市,"Eldon ロッカー, 業務用",石川県,大企業,瀬川 美咲,1,1,0.03,0,26452,2
JP-2018-1031600,2018/11/08,家電,家電,電話機,サムスン,S,通常配送,2018/11/13,"￥1,608",日本,九州,遠賀郡芦屋町,"サムスン ヘッドセット, 青",福岡県,小規模事業所,梶山 静香,1,1,0.11,0,14640,3
JP-2018-1031976,2018/09/29,事務用品,事務用品,文房具,Elite,A,通常配送,2018/10/05,"-￥2,081",日本,北海道,旭川市,"Elite はさみ, 青",北海道,大企業,門田 颯太,1,1,-0.38,0.4,5407,6
JP-2019-1032556,2019/04/05,家具,家具,家具,Deflect-O,B,通常配送,2019/04/12,￥808,日本,関西地方,羽曳野市,"Deflect-O 電球, 黒",大阪府,消費者,永末 昭夫,1,1,0.32,0,2532,2
JP-2019-1032556,2019/04/05,事務用品,事務用品,文房具,Kleencut,A,通常配送,2019/04/12,￥756,日本,関西地方,羽曳野市,"Kleencut はさみ, 青",大阪府,消費者,永末 昭夫,1,1,0.17,0,4458,3
JP-2019-1032556,2019/04/05,事務用品,事務用品,封筒,Kraft,A,通常配送,2019/04/12,"￥2,712",日本,関西地方,羽曳野市,"Kraft 茶封筒, シルバー",大阪府,消費者,永末 昭夫,1,1,0.47,0,5778,3
JP-2018-1033858,2018/08/30,事務用品,事務用品,バインダー,Ibico,A,セカンド クラス,2018/09/01,-￥92,日本,中部地方,浜松市中区,"Ibico バインダー カバー, 高耐久性",静岡県,消費者,岩佐 太陽,1,1,-0.15,0.4,,1
JP-2018-1033858,2018/08/30,家電,家電,コピー機,キヤノン,S,セカンド クラス,2018/09/01,"-￥9,402",日本,中部地方,浜松市中区,"キヤノン インク, デジタル",静岡県,消費者,岩佐 太陽,1,1,-0.4,0.4,23486,4
JP-2018-1033858,2018/08/30,事務用品,事務用品,画材,Binney & Smith,A,セカンド クラス,2018/09/01,"-￥6,995",日本,中部地方,浜松市中区,"Binney & Smith キャンバス, 各種サイズ",静岡県,消費者,岩佐 太陽,1,1,-0.4,0.4,17453,8
JP-2018-1033858,2018/08/30,事務用品,事務用品,封筒,Cameo,A,セカンド クラス,2018/09/01,"-￥4,406",日本,中部地方,浜松市中区,"Cameo 茶封筒, 赤",静岡県,消費者,岩佐 太陽,1,1,-0.6,0.4,7330,6
JP-2018-1033858,2018/08/30,家電,家電,コピー機,ブラザー,S,セカンド クラス,2018/09/01,"-￥8,335",日本,中部地方,浜松市中区,"ブラザー インク, カラー",静岡県,消費者,岩佐 太陽,1,1,-0.47,0.4,17849,3
JP-2018-1033858,2018/08/30,事務用品,事務用品,バインダー,Avery,A,セカンド クラス,2018/09/01,-￥754,日本,中部地方,浜松市中区,"Avery 穴あけパンチ, リサイクル",静岡県,消費者,岩佐 太陽,1,1,-0.33,0.4,2258,2
JP-2018-1035332,2018/07/21,事務用品,事務用品,封筒,Ames,A,通常配送,2018/07/27,"￥1,240",日本,九州,田川郡川崎町,"Ames 茶封筒, 赤",福岡県,消費者,末長 誠,1,1,0.33,0,3764,2
JP-2017-1035496,2017/03/17,家電,家電,付属品,エナーマックス,S,通常配送,2017/03/21,"￥1,878",日本,中部地方,津島市,"エナーマックス キーパッド, プログラミング可能",愛知県,大企業,市瀬 義雄,1,1,0.16,0,11766,3
JP-2019-1036006,2019/03/24,家具,家具,本棚,Safco,B,通常配送,2019/03/29,"￥9,252",日本,関西地方,田辺市,"Safco キャビネット, 白",和歌山県,消費者,水上 瞳,1,1,0.27,0,34272,3
JP-2019-1036006,2019/03/24,家電,家電,電話機,モトローラ,S,通常配送,2019/03/29,￥85,日本,関西地方,田辺市,"モトローラ 信号ブースター, 各種サイズ",和歌山県,消費者,水上 瞳,1,1,0.01,0,9732,1
JP-2017-1036650,2017/01/08,事務用品,事務用品,アプライアンス,フーバー,A,通常配送,2017/01/12,"￥6,186",日本,四国,松山市,"フーバー 電子レンジ, シルバー",愛媛県,大企業,須見 弘子,1,1,0.1,0,61878,3
JP-2017-1036650,2017/01/08,事務用品,事務用品,バインダー,Ibico,A,通常配送,2017/01/12,"￥7,182",日本,四国,松山市,"Ibico 穴あけパンチ, リサイクル",愛媛県,大企業,須見 弘子,1,1,0.5,0,14378,7
JP-2018-1037654,2018/02/02,事務用品,事務用品,文房具,Acme,A,通常配送,2018/02/07,￥750,日本,関西地方,松原市,"Acme 定規, 長方形",大阪府,消費者,宇津野 皐,1,1,0.28,0,2682,3
JP-2017-1037710,2017/09/27,事務用品,事務用品,封筒,Cameo,A,セカンド クラス,2017/09/29,-￥518,日本,中国地方,岩国市,"Cameo 各種封筒, リサイクル",山口県,消費者,星屋 海斗,1,1,-0.35,0.4,1478,1
JP-2017-1037710,2017/09/27,家電,家電,コピー機,キヤノン,S,セカンド クラス,2017/09/29,"-￥6,998",日本,中国地方,岩国市,"キヤノン ファックス, デジタル",山口県,消費者,星屋 海斗,1,1,-0.18,0.4,38164,3
JP-2020-1038631,2020/08/22,家電,家電,電話機,ノキア,S,通常配送,2020/08/27,￥425,日本,中部地方,瀬戸市,"ノキア 信号ブースター, フル サイズ",愛知県,大企業,霜田 匠,1,1,0.01,0,45930,5
JP-2020-1038631,2020/08/22,事務用品,事務用品,ラベル,Harbour Creations,A,通常配送,2020/08/27,￥34,日本,中部地方,瀬戸市,"Harbour Creations 丸型ラベル, 調整可能",愛知県,大企業,霜田 匠,1,1,0.11,0,,1
JP-2018-1039545,2018/10/10,事務用品,事務用品,紙,サンディスク,A,セカンド クラス,2018/10/13,"￥1,309",日本,関東地方,新宿区,"サンディスク リーム, 12 パック",東京都,大企業,北澤 翔,1,1,0.34,0.15,3845,2
JP-2017-1040406,2017/10/16,家具,家具,椅子,Hon,B,通常配送,2017/10/21,"-￥11,973",日本,関西地方,鈴鹿市,"Hon ロッキング チェア, 黒",三重県,大企業,平川 輝,1,1,-0.33,0.4,35893,7
JP-2020-1041247,2020/11/22,家電,家電,コピー機,ヒューレット・パッカード,S,セカンド クラス,2020/11/25,"￥5,241",日本,関東地方,新宿区,"ヒューレット・パッカード 家庭用コピー機, カラー",東京都,大企業,北澤 翔,1,1,0.21,0.15,24771,3
JP-2020-1041715,2020/10/25,事務用品,事務用品,画材,BIC,A,通常配送,2020/11/01,"-￥1,036",日本,中国地方,福山市,"BIC マーカー, 大容量パック",広島県,小規模事業所,田幡 葵,1,1,-0.42,0.3,2492,2
JP-2020-1042695,2020/09/05,家電,家電,事務機器,OKI データ,S,通常配送,2020/09/12,"￥5,712",日本,九州,宜野湾市,"OKI データ 電話, 赤",沖縄県,消費者,河江 昭夫,1,1,0.34,0,16800,3
JP-2020-1042695,2020/09/05,家具,家具,本棚,Sauder,B,通常配送,2020/09/12,"￥6,872",日本,九州,宜野湾市,"Sauder コーナー シェルフ, 従来型",沖縄県,消費者,河江 昭夫,1,1,0.35,0,19640,2
JP-2019-1044305,2019/06/05,家電,家電,電話機,アップル,S,セカンド クラス,2019/06/10,"￥159,488",日本,関東地方,川崎市川崎区,"アップル 充電器, 大容量パック",神奈川県,消費者,倉本 翼,1,1,0.47,0,339360,8
JP-2019-1044783,2019/12/13,事務用品,事務用品,保管箱,Fellowes,A,通常配送,2019/12/18,"-￥1,240",日本,中部地方,浜松市中区,"Fellowes フォルダ, フル サイズ",静岡県,大企業,東條 麗華,1,1,-0.59,0.4,2114,2
JP-2020-1046364,2020/10/20,事務用品,事務用品,クリップ,Stockwell,A,セカンド クラス,2020/10/22,"￥1,254",日本,関西地方,堺市堺区,"Stockwell ペーパー クリップ, 12 パック",大阪府,消費者,丹藤 剛,1,1,0.13,0,9768,11
JP-2020-1046701,2020/08/20,事務用品,事務用品,ラベル,Hon,A,通常配送,2020/08/26,￥696,日本,中国地方,津山市,"Hon 法的提出用ラベル, 調整可能",岡山県,消費者,相原 美月,1,1,0.4,0,1752,3
JP-2020-1046701,2020/08/20,家具,家具,家具,Eldon,B,通常配送,2020/08/26,"￥3,720",日本,中国地方,津山市,"Eldon フレーム, マルチパック",岡山県,消費者,相原 美月,1,1,0.16,0,23262,3
JP-2017-1047598,2017/05/12,事務用品,事務用品,文房具,Fiskars,A,通常配送,2017/05/16,￥425,日本,九州,田川郡川崎町,"Fiskars はさみ, 業務用",福岡県,大企業,竹石 大輔,1,1,0.05,0,8260,5
JP-2018-1048044,2018/01/26,事務用品,事務用品,紙,ゼロックス,A,通常配送,2018/01/30,-￥423,日本,関東地方,新宿区,"ゼロックス ノート, プレミアム",東京都,大企業,登坂 克己,1,1,-0.07,0.15,5977,4
JP-2018-1048044,2018/01/26,事務用品,事務用品,文房具,Fiskars,A,通常配送,2018/01/30,-￥109,日本,関東地方,新宿区,"Fiskars はさみ, 長方形",東京都,大企業,登坂 克己,1,1,-0.05,0.15,2251,2
JP-2019-1048795,2019/01/02,事務用品,事務用品,紙,ゼロックス,A,セカンド クラス,2019/01/07,￥444,日本,関西地方,堺市堺区,"ゼロックス スケジュール帳, リサイクル",大阪府,小規模事業所,猪上 郁,1,1,0.11,0,4056,3
JP-2018-1048956,2018/06/05,事務用品,事務用品,封筒,Cameo,A,通常配送,2018/06/10,"￥4,992",日本,中国地方,福山市,"Cameo 社内用封筒, 赤",広島県,消費者,河内 延,1,1,0.49,0,10194,3
JP-2017-1049507,2017/06/24,事務用品,事務用品,アプライアンス,ハミルトンビーチ,A,セカンド クラス,2017/06/27,"￥20,202",日本,中部地方,稲沢市,"ハミルトンビーチ 電子レンジ, 白",愛知県,小規模事業所,積田 千代,1,1,0.36,0,56130,3
JP-2020-1050014,2020/09/18,事務用品,事務用品,バインダー,ウィルソン・ジョーンズ,A,通常配送,2020/09/22,￥18,日本,九州,春日市,"ウィルソン・ジョーンズ バインダー カバー, リサイクル",福岡県,大企業,桃木 優太,1,1,0.01,0,2310,3
JP-2020-1050014,2020/09/18,家具,家具,椅子,Novimex,B,通常配送,2020/09/22,"￥18,792",日本,九州,春日市,"Novimex スツール, 黒",福岡県,大企業,桃木 優太,1,1,0.29,0,64812,6
JP-2020-1050014,2020/09/18,事務用品,事務用品,紙,ゼロックス,A,通常配送,2020/09/22,￥932,日本,九州,春日市,"ゼロックス リーム, 12 パック",福岡県,大企業,桃木 優太,1,1,0.23,0,4064,2
JP-2017-1051959,2017/06/29,家電,家電,付属品,エナーマックス,S,通常配送,2017/07/03,"￥4,560",日本,中国地方,米子市,"エナーマックス マウス, エコノミー",鳥取県,消費者,三溝 誠,1,1,0.34,0,13430,5
JP-2017-1051959,2017/06/29,家具,家具,本棚,Dania,B,通常配送,2017/07/03,"￥7,530",日本,中国地方,米子市,"Dania コーナー シェルフ, メタル",鳥取県,消費者,三溝 誠,1,1,0.31,0,24306,3
JP-2017-1051959,2017/06/29,事務用品,事務用品,保管箱,Rogers,A,通常配送,2017/07/03,￥0,日本,中国地方,米子市,"Rogers フォルダ, メタル",鳥取県,消費者,三溝 誠,1,1,0,0,5952,3
JP-2017-1051959,2017/06/29,事務用品,事務用品,クリップ,Stockwell,A,通常配送,2017/07/03,￥18,日本,中国地方,米子市,"Stockwell ホチキス, メタル",鳥取県,消費者,三溝 誠,1,1,0.01,0,2106,3
JP-2017-1055699,2017/01/26,家具,家具,本棚,Sauder,B,通常配送,2017/01/30,"￥6,426",日本,東北地方,八戸市,"Sauder 棚セット, 白",青森県,消費者,大矢 千代子,1,1,0.07,0,91980,7
